MWCO [Da],Average surface roughness[nm],Zeta potential [mV],Static contact angle [°],MgSO4 rejection [%],NaCl rejection [%],pH,Temperature [°C],Pressure [bar],PWP [LMH/bar],Monovalent cation feed [mmol/L],Divalent cation feed [mmol/L],Monovalent anion feed [mmol/L],Divalent anion feed [mmol/L],Cret total VFAs,row_id,membrane_id,domain_id,feed_type,condition_id,replicate_group_id,is_duplicate_removed
300,4,-73,30,97,50,9.0,20,30,13.6,22.5,0.0,0.1,18.6,3.37,48,300,300,complex,C35,R35,False
300,4,-73,30,97,50,9.0,20,30,13.8,22.5,0.0,0.1,18.6,3.66,49,300,300,complex,C35,R35,False
300,4,-73,30,97,50,9.0,40,10,19.0,22.5,0.0,0.1,18.6,2.33,50,300,300,complex,C36,R36,False
300,4,-73,30,97,50,9.0,40,10,20.9,22.5,0.0,0.1,18.6,2.42,51,300,300,complex,C36,R36,False
300,4,-73,30,97,50,9.0,40,20,23.7,22.5,0.0,0.1,18.6,3.13,52,300,300,complex,C37,R37,False
300,4,-73,30,97,50,9.0,40,20,21.1,22.5,0.0,0.1,18.6,2.96,53,300,300,complex,C37,R37,False
300,4,-73,30,97,50,9.0,40,30,19.6,22.5,0.0,0.1,18.6,3.27,54,300,300,complex,C38,R38,False
300,4,-73,30,97,50,9.0,40,30,18.1,22.5,0.0,0.1,18.6,3.2,55,300,300,complex,C38,R38,False
250,11,-45,30,99,50,5.5,20,20,6.1,32.8,0.0,18.6,0.2,2.56,56,250,250,complex,C06,R06,False
250,11,-45,30,99,50,5.5,20,20,5.5,32.8,0.0,18.6,0.2,2.45,57,250,250,complex,C06,R06,False
400,13,-12,15,96,20,5.5,20,20,8.0,32.8,0.0,18.6,0.2,1.89,58,400,400,complex,C41,R41,False
400,13,-12,15,96,20,5.5,20,20,9.2,32.8,0.0,18.6,0.2,2.27,59,400,400,complex,C41,R41,False
300,4,-54,30,97,50,5.5,20,20,14.1,127.6,84.0,281.8,0.16,2.65,60,300,300,complex,C17,R17,False
300,4,-54,30,97,50,5.5,20,20,14.9,127.6,84.0,281.8,0.16,2.76,61,300,300,complex,C17,R17,False
300,4,-54,30,97,50,5.5,40,20,19.1,127.6,84.0,281.8,0.16,2.66,62,300,300,complex,C26,R26,False
300,4,-54,30,97,50,5.5,40,20,20.0,127.6,84.0,281.8,0.16,2.7,63,300,300,complex,C26,R26,False
300,4,-54,30,97,50,5.5,20,20,12.0,151.4,105.0,347.6,0.161,2.72,64,300,300,complex,C18,R18,False
300,4,-54,30,97,50,5.5,20,20,11.4,151.4,105.0,347.6,0.161,2.62,65,300,300,complex,C18,R18,False
300,4,-54,30,97,50,5.5,40,20,19.8,151.4,105.0,347.6,0.161,2.64,66,300,300,complex,C27,R27,False
300,4,-54,30,97,50,5.5,40,20,18.9,151.4,105.0,347.6,0.161,2.61,67,300,300,complex,C27,R27,False
300,4,-54,30,97,50,5.5,20,20,11.6,174.4,126.0,413.6,0.161,2.69,68,300,300,complex,C19,R19,False
300,4,-54,30,97,50,5.5,20,20,12.2,174.4,126.0,413.6,0.161,2.8,69,300,300,complex,C19,R19,False
300,4,-54,30,97,50,5.5,40,20,17.8,174.4,126.0,413.6,0.161,2.64,70,300,300,complex,C28,R28,False
300,4,-54,30,97,50,5.5,40,20,17.3,174.4,126.0,413.6,0.161,2.61,71,300,300,complex,C28,R28,False
400,13,-12,15,96,20,5.5,20,20,6.0,174.4,126.0,413.6,0.161,2.2,72,400,400,complex,C42,R42,False
400,13,-12,15,96,20,5.5,20,20,5.2,174.4,126.0,413.6,0.161,1.83,73,400,400,complex,C42,R42,False
400,13,-12,15,96,20,5.5,40,20,9.2,174.4,126.0,413.6,0.161,2.13,74,400,400,complex,C43,R43,False
400,13,-12,15,96,20,5.5,40,20,8.0,174.4,126.0,413.6,0.161,1.77,75,400,400,complex,C43,R43,False
250,11,-45,30,99,50,5.5,20,20,6.7,174.4,126.0,413.6,0.161,3.71,76,250,250,complex,C07,R07,False
250,11,-45,30,99,50,5.5,20,20,7.4,174.4,126.0,413.6,0.161,2.88,77,250,250,complex,C07,R07,False
250,11,-45,30,99,50,5.5,40,20,10.8,174.4,126.0,413.6,0.161,3.19,78,250,250,complex,C08,R08,True
