source,R2,std_test,RMSE_implied,RMSE_floor,below_floor,note
source_paper_baseline,0.885,0.835,0.283162,0.228778,False,"Random 75/25 split, baseline model (source paper)"
source_paper_best_augmented,0.937,0.835,0.209583,0.228778,True,"Random 75/25 split, best augmented model (source paper)"
